OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
x,x,417058,146930399,704127924,32029
sockets,master,8005,2473880,31082188,664
sockets,close,9440,2473744,43023716,660
sockets,spread,12222,2474071,42616773,660
cores,master,36006,2473678,43409035,664
cores,close,6588,2473834,43292358,661
cores,spread,8677,2473962,42393573,660
threads,master,29604,2473678,42688904,663
threads,close,6007,2474148,11965531,660
threads,spread,5751,2474082,12882305,660
x,x,322168,146930399,704185730,32029
sockets,master,9120,2473886,28208987,660
sockets,close,9350,2473744,43298323,660
sockets,spread,7636,2473872,42810230,660
cores,master,33417,2473678,43306802,662
cores,close,7704,2473834,43246054,660
cores,spread,6437,2473962,43174459,660
threads,master,34016,2473681,42780863,663
threads,close,6745,2474139,12257954,660
threads,spread,6340,2474079,12092123,660
x,x,357615,146930399,704180504,32029
sockets,master,6823,2473877,28551858,662
sockets,close,10714,2473744,42737143,660
sockets,spread,12840,2473872,42568658,660
cores,master,39377,2473687,42170743,660
cores,close,6639,2473834,42922322,660
cores,spread,9143,2473962,42889138,660
threads,master,32693,2473681,42724787,663
threads,close,7669,2474133,12732547,660
threads,spread,6618,2474073,13246093,660
x,x,449862,146930399,704172325,32029
sockets,master,7125,2473684,28171476,660
sockets,close,8288,2473943,42808105,660
sockets,spread,8515,2473872,42672435,660
cores,master,38733,2473678,43437002,661
cores,close,9896,2473834,43328383,660
cores,spread,13468,2473962,42625417,661
threads,master,45184,2473684,42543866,663
threads,close,6788,2474133,12668412,660
threads,spread,6614,2474073,12519442,661
x,x,269945,146930399,704185529,32029
sockets,master,13824,2473877,41537836,662
sockets,close,10411,2473946,42524087,660
sockets,spread,7932,2473872,43162650,660
cores,master,40960,2473708,39851378,660
cores,close,9062,2474033,42330136,660
cores,spread,5751,2473962,43287949,660
threads,master,38728,2473681,42774280,663
threads,close,7799,2474133,13494220,660
threads,spread,7421,2474079,13161799,660
x,x,440395,146930399,704185582,32030
sockets,master,7220,2473892,28625922,663
sockets,close,10482,2473744,43348813,660
sockets,spread,10278,2473872,42879991,660
cores,master,38255,2473681,42939218,660
cores,close,6856,2473929,36229017,660
cores,spread,5651,2473968,42721671,662
threads,master,36406,2473681,42654853,663
threads,close,6197,2474157,12262249,661
threads,spread,6304,2474073,12605855,660
x,x,261048,146930399,704180619,32029
sockets,master,6932,2473895,28581914,663
sockets,close,8891,2473744,42976996,660
sockets,spread,10049,2473872,43032208,661
cores,master,41382,2473678,43370104,662
cores,close,6878,2473834,42532062,660
cores,spread,7492,2474161,42968303,660
threads,master,37532,2473684,42638788,663
threads,close,7746,2474133,13554490,660
threads,spread,5602,2474073,12313376,660
x,x,286622,146930399,704180636,32029
sockets,master,12287,2473892,32769555,661
sockets,close,10187,2473744,43295308,660
sockets,spread,9092,2473872,43096766,660
cores,master,33539,2473690,41477706,664
cores,close,5690,2473834,43098066,660
cores,spread,8816,2473962,43013955,660
threads,master,29375,2473684,42608900,663
threads,close,6713,2474133,13457439,660
threads,spread,6651,2474073,12594704,660
x,x,203689,146930399,704170742,32030
sockets,master,7950,2473711,28019992,661
sockets,close,9795,2473943,42649657,660
sockets,spread,9091,2474071,42902519,660
cores,master,39836,2473678,43376245,662
cores,close,8349,2473834,42965667,660
cores,spread,6408,2473962,43243270,660
threads,master,33485,2473684,42594789,663
threads,close,6054,2474133,12320873,660
threads,spread,8591,2474073,12370562,660
x,x,355486,146930399,704060475,32030
sockets,master,7428,2473696,29642618,661
sockets,close,8136,2473744,42880578,660
sockets,spread,9333,2473872,42840543,660
cores,master,33060,2473684,42789524,660
cores,close,5707,2473834,43328473,660
cores,spread,8540,2473962,42923018,660
threads,master,42783,2473681,42626773,663
threads,close,6658,2474133,12872487,661
threads,spread,6309,2474079,12259996,660
x,x,233365,146930399,704186010,32029
sockets,master,7028,2473880,28966770,661
sockets,close,8740,2473744,42872646,660
sockets,spread,9337,2473875,42627321,660
cores,master,44419,2473678,43239997,660
cores,close,7125,2473834,43230470,660
cores,spread,5866,2473962,43250327,660
threads,master,33765,2473681,42826229,664
threads,close,6131,2474133,12273108,661
threads,spread,8574,2474073,13627845,660
x,x,395056,146930399,704179970,32029
sockets,master,6796,2473886,28268946,660
sockets,close,11542,2473943,42835346,660
sockets,spread,9859,2473872,43013412,660
cores,master,29829,2473684,42648984,661
cores,close,6183,2474033,43042277,660
cores,spread,7536,2473962,42812663,660
threads,master,31185,2473678,42844526,663
threads,close,6577,2474133,12492002,660
threads,spread,6771,2474073,12715628,661
x,x,359246,146930399,704185980,32029
sockets,master,8033,2473681,28559028,661
sockets,close,7283,2473744,42844986,660
sockets,spread,7530,2473872,43197946,660
cores,master,36284,2473678,43117095,662
cores,close,6150,2473834,43324117,660
cores,spread,10323,2473962,42931327,660
threads,master,40229,2473681,42744426,663
threads,close,8980,2474133,14305968,660
threads,spread,6736,2474073,12424848,660
x,x,515066,146930399,704185622,32029
sockets,master,6971,2473880,28320950,660
sockets,close,8805,2473744,42867099,661
sockets,spread,8226,2474071,43138747,660
cores,master,38529,2473687,42358957,662
cores,close,7371,2473834,42515213,660
cores,spread,8253,2473962,43151420,660
threads,master,38032,2473684,42585032,663
threads,close,6369,2474136,12613740,660
threads,spread,7050,2474076,12266944,660
x,x,513379,146930399,704180742,32029
sockets,master,5412,2473678,28429576,663
sockets,close,10052,2473744,42809573,660
sockets,spread,8109,2473872,43033925,660
cores,master,34412,2473690,41870299,662
cores,close,8527,2473834,43206844,660
cores,spread,8661,2473962,42234012,660
threads,master,29426,2473684,42536003,663
threads,close,8465,2474133,15733128,660
threads,spread,6318,2474073,12337375,660
x,x,338342,146930399,704180663,32029
sockets,master,7464,2473886,28305014,661
sockets,close,10634,2473744,42862122,660
sockets,spread,10450,2473872,42707994,660
cores,master,37857,2473687,42486205,663
cores,close,6553,2473834,43244908,660
cores,spread,6966,2473962,43211759,660
threads,master,37626,2473681,42750591,663
threads,close,9831,2474133,15137030,660
threads,spread,7288,2474079,13159019,660
x,x,485844,146930399,704176726,32029
sockets,master,8223,2473684,28168756,661
sockets,close,9609,2473744,42838077,660
sockets,spread,10185,2473872,42900036,661
cores,master,42260,2473681,42926583,664
cores,close,6742,2473834,43018093,660
cores,spread,7852,2474161,43104343,660
threads,master,34200,2473681,42665251,663
threads,close,6609,2474136,13150252,660
threads,spread,6542,2474073,13040009,661
x,x,159787,146930399,704190853,32029
sockets,master,6985,2473693,28448492,661
sockets,close,7647,2473744,43228692,661
sockets,spread,11415,2474071,42891211,660
cores,master,39030,2473681,43007336,663
cores,close,5731,2473834,43206250,660
cores,spread,9455,2473962,42593046,660
threads,master,37074,2473684,42624469,663
threads,close,6169,2474129,13454914,660
threads,spread,6892,2474076,12890357,661
x,x,464861,146930399,704180594,32029
sockets,master,7941,2473892,28726676,661
sockets,close,9470,2473744,42833432,660
sockets,spread,7860,2473872,42695025,660
cores,master,29717,2473687,41601875,661
cores,close,5707,2474033,43202295,660
cores,spread,9002,2474161,43229587,660
threads,master,32976,2473681,42625608,663
threads,close,6537,2474136,13003718,660
threads,spread,5307,2474073,12860010,660
x,x,463523,146930399,704180720,32029
sockets,master,7839,2473687,28047418,662
sockets,close,8429,2473744,43384648,660
sockets,spread,11333,2473872,42544626,660
cores,master,34008,2473684,41744044,660
cores,close,9988,2473834,42667464,660
cores,spread,8403,2473962,43260270,660
threads,master,32952,2473684,42744475,663
threads,close,6734,2474136,12499411,660
threads,spread,6878,2474069,13418102,661
x,x,525404,146930399,704184752,32029
sockets,master,7020,2473696,28685309,661
sockets,close,13463,2473943,41731326,660
sockets,spread,12987,2473872,42234570,660
cores,master,40508,2473678,43037330,662
cores,close,7869,2474039,41308694,662
cores,spread,9126,2474161,42968982,660
threads,master,30406,2473681,42767427,663
threads,close,7062,2474139,12287944,660
threads,spread,6159,2474088,12496338,660
x,x,390174,146930399,704190961,32029
sockets,master,8900,2473880,28275478,660
sockets,close,9194,2473946,42550901,660
sockets,spread,8447,2473872,42672980,660
cores,master,40992,2473681,42755871,660
cores,close,5686,2473834,43303690,660
cores,spread,6761,2473965,42932283,662
threads,master,32101,2473681,42670743,663
threads,close,6748,2474133,13710183,660
threads,spread,6237,2474073,13344001,660
x,x,152654,146930399,704185962,32029
sockets,master,9440,2473690,28097980,661
sockets,close,9443,2473744,42916218,660
sockets,spread,9597,2473872,42728079,661
cores,master,34125,2473681,43124825,662
cores,close,8557,2474037,29609991,660
cores,spread,5969,2473962,43322315,660
threads,master,37216,2473681,42775978,663
threads,close,7079,2474133,12347909,660
threads,spread,15763,2474073,17159145,662
x,x,433064,146930399,704180221,32029
sockets,master,6977,2473690,28524993,662
sockets,close,9669,2473744,42909096,660
sockets,spread,10666,2474071,42620023,660
cores,master,40980,2473681,42538239,663
cores,close,6875,2474033,43226538,660
cores,spread,7165,2473962,43282420,660
threads,master,34383,2473681,42789166,663
threads,close,6484,2474142,12281759,660
threads,spread,6044,2474076,12300255,660
x,x,197723,146930399,704180644,32030
sockets,master,7842,2473687,28290307,660
sockets,close,8236,2473744,42921655,660
sockets,spread,10516,2474071,42164009,660
cores,master,34500,2473678,43434518,665
cores,close,5920,2473834,43357770,660
cores,spread,6896,2473962,43253387,661
threads,master,34609,2473678,42871739,663
threads,close,7074,2474136,12344190,661
threads,spread,6491,2474076,12333891,660
x,x,381728,146930399,704180621,32029
sockets,master,7416,2473690,31294710,660
sockets,close,8468,2473946,42587975,660
sockets,spread,8093,2473872,42869354,660
cores,master,28707,2473684,42751695,661
cores,close,5599,2473834,43377825,660
cores,spread,6936,2473962,43258158,661
threads,master,36371,2473678,42748224,663
threads,close,6315,2474136,12715663,660
threads,spread,8021,2474073,12620955,660
x,x,329014,146930399,704161712,32029
sockets,master,10139,2473877,37479698,660
sockets,close,9151,2473943,42971542,660
sockets,spread,10814,2473872,42916239,660
cores,master,34833,2473684,42671210,662
cores,close,5994,2473834,43284372,660
cores,spread,6678,2473962,43239108,660
threads,master,40206,2473684,42701676,663
threads,close,6714,2474029,12680306,660
threads,spread,7967,2474073,12578669,660
x,x,461852,146930399,704180511,32030
sockets,master,5844,2473678,28149790,662
sockets,close,11701,2473943,42911632,660
sockets,spread,7815,2473872,42854094,661
cores,master,34586,2473883,42256180,660
cores,close,5736,2474033,43299627,660
cores,spread,6166,2473962,43138455,660
threads,master,33616,2473684,42518146,663
threads,close,5679,2474133,12079015,661
threads,spread,6673,2474082,12268220,660
x,x,279486,146930399,704179793,32029
sockets,master,7004,2473892,28620763,663
sockets,close,8486,2473943,42848045,660
sockets,spread,7111,2474071,42898231,661
cores,master,35281,2473681,42824256,665
cores,close,6826,2473834,43291411,660
cores,spread,7982,2473962,43210838,660
threads,master,32467,2473684,42784684,663
threads,close,6934,2474142,12692707,660
threads,spread,6618,2474073,12176332,660
x,x,378467,146930399,704185835,32029
sockets,master,8318,2473883,28408981,660
sockets,close,9650,2473744,43054578,660
sockets,spread,8336,2473872,42593618,660
cores,master,39273,2473687,42357314,664
cores,close,6758,2473834,43249154,660
cores,spread,6128,2474161,43299981,660
threads,master,25116,2473681,42763581,663
threads,close,6969,2474133,12377800,660
threads,spread,6636,2474079,12248424,661
x,x,254676,146930399,704185718,32029
sockets,master,7444,2473880,28578881,662
sockets,close,11841,2473744,42681359,660
sockets,spread,11200,2474071,42590526,660
cores,master,36114,2473687,42529721,660
cores,close,6039,2473834,43240583,660
cores,spread,6611,2473962,42837689,660
threads,master,36235,2473684,42535489,663
threads,close,7367,2474133,13191649,660
threads,spread,6458,2474072,12069506,660
x,x,381927,146930399,704185822,32029
sockets,master,8161,2473681,28394602,660
sockets,close,8663,2473744,43307055,661
sockets,spread,10448,2473878,42763466,660
cores,master,38843,2473691,42155929,663
cores,close,7355,2474033,43343446,661
cores,spread,6209,2473962,43244334,660
threads,master,37660,2473684,42589750,663
threads,close,8460,2474133,12618233,660
threads,spread,5622,2474076,12571868,660
x,x,353888,146930399,704185681,32030
sockets,master,7163,2473886,28323759,660
sockets,close,8691,2473943,42208260,660
sockets,spread,8362,2473872,43315841,660
cores,master,34984,2473678,43358540,660
cores,close,6944,2473834,43355126,660
cores,spread,7805,2474161,43383385,660
threads,master,36501,2473685,42503126,663
threads,close,6479,2474133,12172032,660
threads,spread,6587,2474121,12619166,660
x,x,390101,146930399,704175007,32029
sockets,master,7614,2473877,28655469,662
sockets,close,11599,2473744,42855135,660
sockets,spread,9410,2473872,42992026,661
cores,master,34865,2473696,41210786,663
cores,close,8163,2474033,42789837,660
cores,spread,6002,2473962,43190237,661
threads,master,32827,2473681,42825044,663
threads,close,6838,2474136,12554288,660
threads,spread,6011,2474073,12329468,660
x,x,369822,146930399,704180052,32030
sockets,master,7026,2473892,28539257,662
sockets,close,9671,2473943,42982184,660
sockets,spread,8043,2473872,42780972,660
cores,master,36141,2473708,40344365,660
cores,close,6926,2473834,43228617,660
cores,spread,7986,2474161,42708435,660
threads,master,33825,2473681,42779616,663
threads,close,7593,2474133,13213774,660
threads,spread,7669,2474073,12936728,660
